Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes,Latitude,Longitude
C Scheme,Mum's Cafe,"C93, Subhash Nagar, Near Ahinsa Circle, C Scheme, Jaipur",Café,750,"Cafe, Italian, Continental",3.8,176,26.9158353,75.8063756
C Scheme,House Of Beans,"C 72, Nandan Apartment, Sarojini Marg, C Scheme, Jaipur",Café,550,"Cafe, Fast Food, Beverages",4.2,108,26.9098408,75.8075891
C Scheme,Waffle Mania,"E 176, Ramesh Marg, C Scheme, Jaipur","Dessert Parlor, Beverage Shop",300,"Desserts, Beverages",3.7,174,26.8974602,75.82267829999998
C Scheme,Papaya,"F 74, Salasar Enclave, Bagadia Bhawan, Subhash Marg, C Scheme, Jaipur",Quick Bites,200,"Fast Food, Beverages",3.8,227,26.9072024,75.7974689
C Scheme,Mohan's Vegetarian Restaurant,"Opposite Udyog Bhawan, Tilak Marg, C Scheme, Jaipur",Casual Dining,350,"North Indian, Fast Food",3.7,196,26.902683500000002,75.7985877
C Scheme,La Pino'z Pizza,"Unit G 1, The Landmark Appartment, Ahinsa Circle, C Scheme, Jaipur",Quick Bites,800,"Pizza, Fast Food",3.9,123,26.9144501,75.80538729999998
C Scheme,Chaisa,"9/10, Opposite Mahaveer College, Mahaveer Marg C Scheme, Jaipur","Café, Quick Bites",500,"Cafe, Fast Food, Italian, Beverages",3.5,102,26.9093705,75.8101444
C Scheme,The Rock,"A 2, Sardar Patel Marg, C Scheme, Jaipur","Casual Dining, Bar",1100,"North Indian, Fast Food, Chinese, Beverages",4.0,108,26.910385100000003,75.79498829999999
C Scheme,Ice Spice,"Near Ahinsa Circle, Ashok Marg, C Scheme, Jaipur",Casual Dining,550,"North Indian, Chinese, South Indian",4.2,195,26.9140867,75.8066333
C Scheme,Pandit Pav Bhaji,"Shop 4, Sarojni Marg, Statue Circle, C Scheme, Jaipur",Quick Bites,250,"Street Food, Fast Food, North Indian",3.6,180,26.909478200000002,75.8025021
